Loading original data: /Users/kyle/BP/solver/DCFR-SOLVER/output/push_fold/4p_8bb_1b.json
Loading existing fixed data: /Users/kyle/BP/solver/DCFR-SOLVER/output/push_fold/4p_8bb_1b_fixed.json

JSON structure (original):
  CO: ['no action']
  BTN: ['no action', 'CO push']
  SB: ['no action', 'CO push', 'BTN push', 'CO+BTN push']
  BB: ['CO push', 'BTN push', 'CO+BTN push', 'SB push', 'CO+SB push', 'BTN+SB push', 'CO+BTN+SB push']

Trials per hand: 50,000
Seed: 42

=== Situation 4: BB vs CO+BTN+SB push (copy from existing fixed file) ===
push_pct: 12.1% -> 9.7% (already fixed, preserving)

=== Fixing: BB vs CO+BTN push (SB folded) ===
Breakeven: 28.571%  (14 / 49)
Trials per hand: 50,000
CO 'no action' combos: 514, mean push: 0.334
BTN 'CO push' combos: 412, mean push: 0.154

Hand     |  Solver% |  Equity% |  EV(chips) | Corrected% | Change
J7o      |     0.00 |    22.98 |      -2.97 |       0.00 | ok
J8o      |     0.04 |    24.09 |      -2.44 |       0.00 | ok
J9o      |     0.00 |    26.24 |      -1.41 |       0.00 | ok
JTo      |     1.15 |    27.37 |      -0.86 |       0.00 | FIXED
Q2o      |     0.00 |    20.45 |      -4.18 |       0.00 | ok
Q3o      |     0.08 |    20.93 |      -3.95 |       0.00 | ok
Q4o      |     0.00 |    21.66 |      -3.60 |       0.00 | ok
Q5o      |     0.01 |    22.24 |      -3.32 |       0.00 | ok
Q6o      |     0.05 |    22.68 |      -3.12 |       0.00 | ok
Q7o      |     0.02 |    22.61 |      -3.15 |       0.00 | ok
Q8o      |     0.03 |    24.07 |      -2.45 |       0.00 | ok
Q9o      |     0.15 |    25.59 |      -1.72 |       0.00 | ok
QTo      |     0.13 |    27.96 |      -0.58 |       0.00 | ok
QJo      |     0.02 |    28.39 |      -0.37 |       0.00 | ok
K2o      |     0.05 |    20.84 |      -4.00 |       0.00 | ok
K3o      |     0.00 |    21.37 |      -3.74 |       0.00 | ok
K4o      |     0.15 |    22.19 |      -3.35 |       0.00 | ok
K5o      |     0.03 |    22.93 |      -2.99 |       0.00 | ok
K6o      |     0.01 |    23.22 |      -2.86 |       0.00 | ok
K7o      |     0.10 |    23.57 |      -2.69 |       0.00 | ok
K8o      |     0.04 |    23.72 |      -2.61 |       0.00 | ok
K9o      |     0.75 |    25.07 |      -1.97 |       0.00 | ok
KTo      |     2.00 |    27.51 |      -0.80 |       0.00 | FIXED
KJo      |     3.22 |    28.55 |      -0.30 |       0.00 | FIXED
KQo      |   100.00 |    30.81 |      +0.79 |     100.00 | ok
A2o      |     0.03 |    20.39 |      -4.21 |       0.00 | ok
A3o      |     0.15 |    21.05 |      -3.89 |       0.00 | ok
A4o      |     0.06 |    21.72 |      -3.57 |       0.00 | ok
A5o      |     0.08 |    23.05 |      -2.94 |       0.00 | ok
A6o      |     0.45 |    21.98 |      -3.45 |       0.00 | ok
A7o      |     0.00 |    23.44 |      -2.75 |       0.00 | ok
A8o      |     0.34 |    24.85 |      -2.07 |       0.00 | ok
A9o      |     1.67 |    26.96 |      -1.06 |       0.00 | FIXED
ATo      |    99.93 |    30.32 |      +0.55 |     100.00 | ok
AJo      |   100.00 |    33.78 |      +2.22 |     100.00 | ok
AQo      |   100.00 |    37.08 |      +3.80 |     100.00 | ok
AKo      |   100.00 |    40.87 |      +5.62 |     100.00 | ok
------------------------------------------------------------------------
push_pct: 13.8% -> 13.9%  |  hands changed: 23/169

=== Fixing: BB vs BTN+SB push (CO folded) ===
Breakeven: 29.167%  (14 / 48)
Trials per hand: 50,000
BTN 'no action' combos: 590, mean push: 0.405
SB 'BTN push' combos: 626, mean push: 0.251

Hand     |  Solver% |  Equity% |  EV(chips) | Corrected% | Change
------------------------------------------------------------------------
22       |     1.01 |    27.79 |      -0.66 |       0.00 | FIXED
33       |    53.85 |    29.48 |      +0.15 |      81.60 | FIXED
44       |    99.45 |    30.94 |      +0.85 |     100.00 | ok
55       |   100.00 |    33.03 |      +1.85 |     100.00 | ok
66       |    99.98 |    35.32 |      +2.96 |     100.00 | ok
77       |    99.99 |    37.19 |      +3.85 |     100.00 | ok
88       |   100.00 |    39.44 |      +4.93 |     100.00 | ok
99       |   100.00 |    42.25 |      +6.28 |     100.00 | ok
TT       |    99.99 |    46.12 |      +8.14 |     100.00 | ok
JJ       |   100.00 |    50.38 |     +10.18 |     100.00 | ok
QQ       |   100.00 |    55.31 |     +12.55 |     100.00 | ok
KK       |   100.00 |    61.96 |     +15.74 |     100.00 | ok
AA       |   100.00 |    72.96 |     +21.02 |     100.00 | ok
32s      |     0.00 |    23.10 |      -2.91 |       0.00 | ok
42s      |     0.05 |    24.07 |      -2.45 |       0.00 | ok
43s      |     0.00 |    25.35 |      -1.83 |       0.00 | ok
52s      |     0.50 |    23.77 |      -2.59 |       0.00 | ok
53s      |     0.14 |    25.85 |      -1.59 |       0.00 | ok
